"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
354,119497,"Irepodun","Osun","Southwest",64.27142951,"Others",1859.25536293552,"osun_irepodun",4.5127827476646,7.87911743255731
355,148610,"Irepodun","Kwara","North-Central",737.4093939,"Others",201.529843841606,"kwara_irepodun",4.91956865735118,8.16760434143432
356,129149,"Irepodun/Ifelodun","Ekiti","Southwest",356.5173426,"Others",362.251662312261,"ekiti_irepodun_ifelodun",5.23324081795855,7.70898486453945
357,143599,"Irewole","Osun","Southwest",271.084458,"Others",529.72051979461,"osun_irewole",4.22348616622791,7.41538224322267
358,146103,"Isa","Sokoto","Northwest",2158.798121,"Others",67.6779355043732,"sokoto_isa",6.33774892268525,13.2033655243419
359,113754,"Ise/Orun","Ekiti","Southwest",432.2732446,"Others",263.152997371515,"ekiti_ise_orun",5.40211046621767,7.44063768258598
360,256926,"Iseyin","Oyo","Southwest",1350.121667,"Others",190.298405158474,"oyo_iseyin",3.53210470341683,7.85770363676248
361,151048,"Ishielu","Ebonyi","Southeast",872.4397666,"148",173.132869205002,"ebonyi_ishielu",7.82370155929584,6.42429677741618
362,198736,"Isiala Mbano","Imo","Southeast",165.6060344,"Others",1200.05288889401,"imo_isiala_mbano",7.18931202457063,5.68134416890241
363,153734,"Isiala Ngwa North","Abia","Southeast",283.0211843,"148",543.18902092164,"abia_isiala_ngwa_north",7.40140790305037,5.29057291974854
364,134762,"Isiala Ngwa South","Abia","Southeast",258.0980277,"148",522.134946945974,"abia_isiala_ngwa_south",7.42296419296289,5.39620723608674
365,59738,"Isin","Kwara","North-Central",633.6753103,"Others",94.2722543059447,"kwara_isin",5.04262937770209,8.264792139584
366,148415,"Isi-Uzo","Enugu","Southeast",877.1684236,"113",169.197837048087,"enugu_isi_uzo",7.70564093457117,6.74493987797937
367,103177,"Isokan","Osun","Southwest",179.4122024,"Others",575.083515055273,"osun_isokan",4.19056475854822,7.30245261302013
368,144155,"Isoko north","Delta","South-South",477.7137096,"Others",301.760232338118,"delta_isoko_north",6.23754723985431,5.52617541717024
369,227712,"Isoko South","Delta","South-South",704.3555502,"Others",323.29126949499,"delta_isoko_south",6.22060407455152,5.38075994481057
370,164468,"Isu","Imo","Southeast",40.06010362,"148",4105.53106801974,"imo_isu",7.05520843256566,5.68974141552392
371,114442,"Isuikwuato","Abia","Southeast",393.5685881,"Others",290.780320026257,"abia_isuikwuato",7.4720383328484,5.80554718193891
372,229969,"Itas/Gadau","Bauchi","Northeast",1397.383052,"113",164.571195901408,"bauchi_itas_gadau",10.0422422921425,11.8811599644858
373,128652,"Itesiwaju","Oyo","Southwest",1515.678615,"Others",84.8807911695713,"oyo_itesiwaju",3.514434994284,8.19643403241932
374,127033,"Itu","Akwa Ibom","South-South",174.6557249,"Others",727.33373081663,"akwa_ibom_itu",7.98817260933928,5.15429940611296
375,120919,"Ivo","Ebonyi","Southeast",244.8451009,"Others",493.859176906243,"ebonyi_ivo",7.62478645836984,5.89147365417386
376,102980,"Iwajowa","Oyo","Southwest",2533.069846,"148",40.6542283714035,"oyo_iwajowa",3.01435052761366,8.0083597746507
377,191377,"Iwo","Osun","Southwest",214.7339277,"Others",891.228517308958,"osun_iwo",4.14168869796943,7.67122681159682
378,234072,"Izzi","Ebonyi","Southeast",1068.643936,"113",219.036474277996,"ebonyi_izzi",8.2734471827456,6.51139041821491
379,155377,"Jaba","Kaduna","Northwest",368.3228501,"Others",421.850015435684,"kaduna_jaba",8.04053982782638,9.47442484302162
